City,Activity(Healing/Tour),Budget(Bangforthebucks/Luxury),weather(Frosty/Scorching),cultural(Classic/Modern),State
Hong Kong,7,3,7.12,8,Hong Kong
Bangkok,2,2,9.29,2,Thailand
London,7,7,2.35,4,United Kingdom
Singapore,6,4,9.37,7,Singapore
Macau,8,3,6.82,8,Macau
Paris,10,8,1.86,1,France
Dubai,9,7,8.38,10,United Arab Emirates
New York City,10,9,1.78,8,USA
Kuala Lumpur,4,2,9.29,7,Malaysia
Shenzhen,9,2,6.82,8,China
Phuket,1,2,9.13,1,Thailand
Istanbul,8,6,2.91,3,Turkey
Delhi,7,5,6.51,3,India
Tokyo,8,1,3.21,7,Japan
Rome,8,7,3.31,1,Italy
Antalya,2,6,4.51,3,Turkey
Taipei,6,1,7.12,6,Taiwan
Guangzhou,7,2,7.02,7,China
Mumbai,8,5,9.08,6,India
Prague,6,7,1.08,3,Czech Republic
Mecca,9,6,9.43,1,Saudi Arabia
Miami,2,8,8.16,7,USA
Amsterdam,3,7,1.57,3,Netherlands
Seoul,8,0,0.98,6,South Korea
Pattaya,1,2,9.33,1,Thailand
Shanghai,8,2,3.01,6,China
Los Angeles,6,8,5.64,8,USA
Las Vegas,9,10,2.53,10,USA
Agra,4,4,6.51,1,India
Osaka,3,1,3.31,5,Japan
Barcelona,7,9,4.51,2,Spain
Mexico City,5,8,5.07,3,Mexico
Porto,3,9,3.73,2,Portugal
Quebec City,4,8,0.26,3,Canada
Beijing,7,2,0.76,6,China
Chicago,6,7,1.03,7,USA
Abu Dhabi,7,6,8.45,10,United Arab Emirates
Madrid,6,9,2.35,3,Spain
Sydney,2,6,7.50,6,Australia
Lisbon,5,9,4.51,3,Portugal
Vienna,3,7,1.31,2,Austria
Berlin,6,6,1.08,5,Germany
Venice,1,5,1.78,1,Italy
Honolulu,0,6,8.64,3,USA
Jeju Island,1,0,2.81,4,South Korea
Cairo,9,9,6.51,0,Egypt
Bali,0,4,9.17,3,Indonesia
Toronto,8,8,0.89,7,Canada
Cebu,0,2,9.29,3,Philippines
Home,0,0,0.98,5,South Korea
